width,length,type,region,model,height-min,height-max,stories,shape,library
22.9,16.7,commercial,CE,objects/commercial/EU/COM_22.9x16.7_PL.obj,,,2,SQ,W2XP
35.8,13.8,commercial,CE,objects/commercial/EU/COM_35.8x13.8_PL.obj,,,2,SQ,W2XP
28.00,13.00,commercial,CH,objects/commercial/EU/CH/COM_28.00x13.00x11.00_CH.obj,10,20,4,SQ,W2XP
32.00,15.00,commercial,CH,objects/commercial/EU/CH/COM_32.00x15.00x11.00_CH.obj,10,20,4,SQ,W2XP
37.80,17.55,commercial,CH,objects/commercial/EU/CH/COM_37.80x17.55x14.85_CH.obj,10,20,3,SQ,W2XP
41.60,19.50,commercial,CH,objects/commercial/EU/CH/COM_41.60x19.50x14.30_CH.obj,10,20,4,SQ,W2XP
33.84,22.56,commercial,CH,objects/commercial/EU/CH/COM_33.84x22.56x21.15_CH.obj,15,25,6,SQ,W2XP
24.00,16.00,commercial,CH,objects/commercial/EU/CH/COM_24.00x16.00x15.00_CH.obj,10,20,4,SQ,W2XP
23.03,22.95,commercial,CH,objects/commercial/EU/CH/COM_23.03x22.95x24.34_CH.obj,20,30,4,SQ,W2XP
17.06,17.00,commercial,CH,objects/commercial/EU/CH/COM_17.06x17.00x11.00_CH.obj,5,15,3,SQ,W2XP
64.43,21.66,commercial,CH,objects/commercial/EU/CH/COM_64.43x21.66x15.16_CH.obj,10,20,4,SQ,W2XP
22.00,15.00,commercial,CH,objects/commercial/EU/CH/COM_22.00x15.00x12.00_CH.obj,10,15,,SQ,W2XP
15.00,10.00,commercial,CH,objects/commercial/EU/CH/COM_15.00x10.00x15.00_CH.obj,10,20,,SQ,W2XP
25.00,15.00,commercial,CH,objects/commercial/EU/CH/COM_25.00x15.00x15.00_CH.obj,10,20,,SQ,W2XP
30.00,20.00,commercial,CH,objects/commercial/EU/CH/COM_30.00x20.00x15.13_CH.obj,10,20,,SQ,W2XP
20.00,20.00,commercial,CH,objects/commercial/EU/CH/COM_20.00x20.00x14.00_CH.obj,8,18,,SQ,W2XP
30.70,11.90,commercial,CH,objects/commercial/EU/CH/COM_30.70x11.90x8.28_CH.obj,5,10,,SQ,W2XP
58.90,26.18,commercial,CH,objects/commercial/EU/CH/COM_58.90x26.18x14.76_CH.obj,10,20,,SQ,W2XP
7.52,16.3,commercial,CE;PL;DE,objects/houses/EU/PL/R_7.52x16.3_PL.obj,,,2,SQ,W2XP
7.75,16.3,commercial,CE;PL;DE,objects/houses/EU/PL/R_7.75x16.3_PL.obj,,,2,SQ,W2XP
9.62,17.0,commercial,CE;PL;DE,objects/houses/EU/PL/R_9.62x17.0_PL.obj,,,2,SQ,W2XP
10.1,13.5,commercial,CE;PL;DE,objects/houses/EU/PL/R_10.1x13.5_PL.obj,,,3,SQ,W2XP
10.7,7.8,commercial,CE;PL;DE,objects/houses/EU/PL/R_10.7x7.8_PL.obj,,,3,SQ,W2XP
16.8,14.5,commercial,CE;PL;DE,objects/houses/EU/PL/R_16.8x14.5_PL.obj,,,2,SQ,W2XP
22.6,13.3,commercial,CE;PL;DE,objects/houses/EU/PL/R_22.6x13.3_PL.obj,,,3,SQ,W2XP
14.5,25.1,commercial,CE;PL;DE,objects/commercial/EU/COM_14.5x25.1_PL.obj,,,4,SQ,W2XP
23.0,18.8,commercial,CE;PL;DE,objects/commercial/EU/COM_23.0x18.8_PL.obj,,,4,SQ,W2XP
23.0,18.8,commercial,,objects/commercial/EU/COM_23.0x18.8_PL.obj,,,4,SQ,W2XP
22.60,16.40,commercial,DE;PL,objects/houses/EU/DE/COM_22.6x16.4_DE.obj,,,2,SQ,W2XP
18.33,10.41,commercial,GB;IE;NL,objects/houses/EU/IE/RET_18.33x10.41_2_IE.obj,,,2,SQ,W2XP,Black
18.50,7.62,commercial,GB;IE;NL,objects/houses/EU/IE/RET_18.50x7.62_2_IE.obj,,,2,SQ,W2XP,Black
19.31,8.36,commercial,GB;IE;NL,objects/houses/EU/IE/RET_19.31x8.36_2_IE.obj,,,2,SQ,W2XP,Black
29.06,13.18,commercial,GB;IE;NL,objects/houses/EU/IE/RET_29.06x13.18_1_IE.obj,,,1,SQ,W2XP,Black
9.21,7.08,commercial,GB;IE;NL,objects/houses/EU/IE/PUB_9.21x7.08_2_IE.obj,,,2,SQ,W2XP,Black
13.77,10.10,commercial,GB;IE;NL,objects/houses/EU/IE/PUB_13.77x10.10_2_IE.obj,,,2,SQ,W2XP,Black
28.64,12.15,commercial,GB;IE;NL,objects/houses/EU/IE/COM_28.64x12.15_3_IE.obj,,,2,SQ,W2XP,Black





