min-height,max-height,min-area,max-area,regions,facade,roof-height
,,,,,lib/g10/autogen/ind_high_solid_15x30a.fac,1
,,,,,lib/g10/autogen/ind_high_solid_15x30b.fac,1
,,,,,lib/g10/autogen/ind_high_solid_15x60a.fac,1
,,,,,lib/g10/autogen/ind_high_solid_15x60b.fac,1
,,,,,lib/g10/autogen/ind_high_solid_15x90a.fac,1
,,,,,lib/g10/autogen/ind_high_solid_15x90b.fac,1
,,,,,lib/g10/autogen/ind_high_solid_22x30a.fac,1
,,,,,lib/g10/autogen/ind_high_solid_22x30b.fac,1
,,,,,lib/g10/autogen/ind_high_solid_22x60a.fac,1
,,,,,lib/g10/autogen/ind_high_solid_22x90a.fac,1
,,,,,lib/g10/autogen/ind_high_solid_15x90b.fac,1

,,,,,lib/g10/autogen/ind_low_solid_40_v1.fac,1
,,,,,lib/g10/autogen/ind_low_solid_40_v2.fac,1
,,,,,lib/g10/autogen/ind_low_solid_45_v0.fac,1
,,,,,lib/g10/autogen/point_building_30x30_10.fac,1
,,,,,lib/g10/autogen/point_building_30x30_16.fac,1
,,,,,lib/g10/autogen/point_building_60x60_120.fac,1
,,,,,lib/g10/autogen/urban_high_solid_24_22x120x90a.fac,1
,,,,,lib/g10/autogen/urban_high_solid_24_22x120x90b.fac,1
,,,,,lib/g10/autogen/urban_high_solid_24_22x120x30a.fac,1
,,,,,lib/g10/autogen/urban_high_solid_999_15x999x60b.fac,1
# Retail
,,,,,lib/g10/autogen/urban_high_solid_24_22x10x90a.fac,1
,,,,,lib/g10/autogen/urban_high_solid_24_22x10x90b.fac,1


