width,height,type,region,model,height-min,height-max,stories
10,22,airport,CE,R2_Library/budovy/letiste/hangary/JB_Hangar-10x22m.obj,,,1
10,27,airport,CE,R2_Library/budovy/letiste/hangary/JB_Hangar-10x27m.obj,,,1
10,6,airport,CE,R2_Library/budovy/letiste/hangary/JB_Hangar-10x6m.obj,,,1
11,10,airport,CE,R2_Library/budovy/letiste/hangary/JB_Hangar-11x10m.obj,,,1
11,14,airport,CE,R2_Library/budovy/letiste/hangary/JB_Hangar-11x14m.obj,,,1
122,11,airport,CE,R2_Library/budovy/letiste/hangary/JB_Hangar-122x11m.obj,,,1
12,10,airport,CE,R2_Library/budovy/letiste/hangary/JB_Hangar-12x10m.obj,,,1
12,11,airport,CE,R2_Library/budovy/letiste/hangary/JB_Hangar-12x11m.obj,,,1
12,13,airport,CE,R2_Library/budovy/letiste/hangary/JB_Hangar-12x13m.obj,,,1
12,15m-a,airport,CE,R2_Library/budovy/letiste/hangary/JB_Hangar-12x15m-a.obj,,,1
12,15,airport,CE,R2_Library/budovy/letiste/hangary/JB_Hangar-12x15m.obj,,,1
12,18,airport,CE,R2_Library/budovy/letiste/hangary/JB_Hangar-12x18m.obj,,,1
12,20,airport,CE,R2_Library/budovy/letiste/hangary/JB_Hangar-12x20m.obj,,,1
12,7,airport,CE,R2_Library/budovy/letiste/hangary/JB_Hangar-12x7m-a.obj,,,1
12,7,airport,CE,R2_Library/budovy/letiste/hangary/JB_Hangar-12x7m-b.obj,,,1
12,7,airport,CE,R2_Library/budovy/letiste/hangary/JB_Hangar-12x7m-c.obj,,,1
12,7,airport,CE,R2_Library/budovy/letiste/hangary/JB_Hangar-12x7m-d.obj,,,1
12,7,airport,CE,R2_Library/budovy/letiste/hangary/JB_Hangar-12x7m-e.obj,,,1
12,7,airport,CE,R2_Library/budovy/letiste/hangary/JB_Hangar-12x7m.obj,,,1
12,8,airport,CE,R2_Library/budovy/letiste/hangary/JB_Hangar-12x8m.obj,,,1
13,11,airport,CE,R2_Library/budovy/letiste/hangary/JB_Hangar-13x11m-a.obj,,,1
13,11,airport,CE,R2_Library/budovy/letiste/hangary/JB_Hangar-13x11m-b.obj,,,1
13,11,airport,CE,R2_Library/budovy/letiste/hangary/JB_Hangar-13x11m.obj,,,1
13,12,airport,CE,R2_Library/budovy/letiste/hangary/JB_Hangar-13x12m.obj,,,1
13,14,airport,CE,R2_Library/budovy/letiste/hangary/JB_Hangar-13x14m.obj,,,1
13,18,airport,CE,R2_Library/budovy/letiste/hangary/JB_Hangar-13x18m.obj,,,1
13,35,airport,CE,R2_Library/budovy/letiste/hangary/JB_Hangar-13x35m.obj,,,1
13,9,airport,CE,R2_Library/budovy/letiste/hangary/JB_Hangar-13x9m-a.obj,,,1
13,9,airport,CE,R2_Library/budovy/letiste/hangary/JB_Hangar-13x9m-b.obj,,,1
13,9,airport,CE,R2_Library/budovy/letiste/hangary/JB_Hangar-13x9m.obj,,,1
14,11,airport,CE,R2_Library/budovy/letiste/hangary/JB_Hangar-14x11m-a.obj,,,1
14,11,airport,CE,R2_Library/budovy/letiste/hangary/JB_Hangar-14x11m-b.obj,,,1
14,11,airport,CE,R2_Library/budovy/letiste/hangary/JB_Hangar-14x11m-c.obj,,,1
14,11,airport,CE,R2_Library/budovy/letiste/hangary/JB_Hangar-14x11m-d.obj,,,1
14,11,airport,CE,R2_Library/budovy/letiste/hangary/JB_Hangar-14x11m-e.obj,,,1
14,11,airport,CE,R2_Library/budovy/letiste/hangary/JB_Hangar-14x11m-f.obj,,,1
14,11,airport,CE,R2_Library/budovy/letiste/hangary/JB_Hangar-14x11m-g.obj,,,1
