width,length,type,region,model,height-min,height-max,stories,shape,library
10.50,12.80,industrial,,objects/industrial/EU/IND10.50x12.80.obj,,,,SQ,W2XP
11.55,10.71,industrial,,objects/industrial/EU/IND11.55x10.71.obj,,,,SQ,W2XP
23.26,26.89,industrial,,objects/industrial/EU/IND23.26x26.89.obj,,,,SQ,W2XP
23.29,30.90,industrial,,objects/industrial/EU/IND23.29x30.90.obj,,,,SQ,W2XP
24.00,42.80,industrial,,objects/industrial/EU/IND24.00x42.80.obj,,,,SQ,W2XP
27.10,19.00,industrial,,objects/industrial/EU/IND27.10x19.00.obj,,,,SQ,W2XP
33.88,84.76,industrial,,objects/industrial/EU/IND33.88x84.76.obj,,,,SQ,W2XP
35.52,16.59,industrial,,objects/industrial/EU/IND35.52x16.59.obj,,,,SQ,W2XP
11.70,17.00,industrial,,objects/industrial/EU/IND_11.70x17.00.obj,,,,SQ,W2XP
14.61,43.11,industrial,,objects/industrial/EU/IND_14.61x43.11.obj,,,,SQ,W2XP
15.10,39.10,industrial,,objects/industrial/EU/IND_15.10x39.10.obj,,,,SQ,W2XP
15.40,36.50,industrial,,objects/industrial/EU/IND_15.40x36.50.obj,,,,SQ,W2XP
17.36,18.45,industrial,,objects/industrial/EU/IND_17.36x18.45.obj,,,,SQ,W2XP
18.20,35.80,industrial,,objects/industrial/EU/IND_18.2x35.80.obj,,,,SQ,W2XP
26.80,82.00,industrial,,objects/industrial/EU/IND_26.80x82.00.obj,,,,SQ,W2XP
58.50,33.30,industrial,,objects/industrial/EU/IND_57.50x33.30.obj,,,,SQ,W2XP
60.00,92.50,industrial,,objects/industrial/EU/IND_60x92.50.obj,,,,SQ,W2XP
65.40,28.50,industrial,,objects/industrial/EU/IND_65.40x28.50.obj,,,,SQ,W2XP
69.00,92.00,industrial,,objects/industrial/EU/IND_69.00x92.00.obj,,,,SQ,W2XP
83.70,33.30,industrial,,objects/industrial/EU/IND_83.70x33.30.obj,,,,SQ,W2XP
5.60,24.50,industrial,,objects/industrial/EU/IND_5.6x24.50.obj,,,,SQ,W2XP
6.40,34.50,industrial,,objects/industrial/EU/IND_6.40x34.50.obj,,,,SQ,W2XP
23.00,49.00,industrial,,objects/industrial/EU/IND_23.0x49.0.obj,,,,SQ,W2XP
24.00,19.00,industrial,,objects/industrial/EU/IND_24.0x19.0.obj,,,,SQ,W2XP
24.00,50.00,industrial,,objects/industrial/EU/IND_24.0x50.0.obj,,,,SQ,W2XP
30.60,34.00,industrial,,objects/industrial/EU/IND_30.60x34.00.obj,,,,SQ,W2XP
32.00,32.00,industrial,,objects/industrial/EU/IND_32.0x32.0.obj,,,,SQ,W2XP
32.50,31.50,industrial,,objects/industrial/EU/IND_32.5x31.5.obj,,,,SQ,W2XP
35.00,30.00,industrial,,objects/industrial/EU/IND_35.0x30.0.obj,,,,SQ,W2XP
56.90,47.80,industrial,,objects/industrial/EU/IND_56.9x47.8.obj,,,,SQ,W2XP
72.80,59.60,industrial,,objects/industrial/EU/IND_72.8x59.6.obj,,,,SQ,W2XP
15.00,11.00,industrial,,objects/industrial/EU/IND_15x11.0.obj,,,,SQ,W2XP
18.70,33.50,industrial,,objects/industrial/EU/IND_18.7x33.5.obj,,,,SQ,W2XP
31.50,57.00,industrial,,objects/industrial/EU/IND_31.5x57.0.obj,,,,SQ,W2XP
37.40,45.40,industrial,,objects/industrial/EU/IND_37.0x45.4.obj,,,,SQ,W2XP
38.40,49.40,industrial,,objects/industrial/EU/IND_38.4x49.4.obj,,,,SQ,W2XP
22.40,56.00,industrial,,objects/industrial/EU/IN_22.40x56.00.obj,,,,SQ,W2XP
29.00,12.70,industrial,,objects/industrial/EU/IN_29.00x12.70.obj,,,,SQ,W2XP
12.00,16.00,industrial,,objects/industrial/EU/IN_12.00x16.00_1.obj,,,,SQ,W2XP
12.00,20.00,industrial,,objects/industrial/EU/IN_12.00x20.00_1.obj,,,,SQ,W2XP
22.40,69.00,industrial,,objects/industrial/EU/IN_22.40x69.00.obj,,,,SQ,W2XP
30,108,industrial,,lib/g10/US/industrial/light/Fact30x108A.obj,,,,SQ,XP
30,108,industrial,,lib/g10/US/industrial/light/Fact30x108B.obj,,,,SQ,XP
15,22,industrial,,lib/g10/US/industrial/light/FactA15x22.obj,,,,SQ,XP
60,30,industrial,,lib/g10/US/industrial/light/FactA60x30.obj,,,,SQ,XP
10,30,industrial,,lib/g10/US/industrial/light/FactB10x30D.obj,,,,SQ,XP
30,45,industrial,,lib/g10/US/industrial/light/FactB30x45.obj,,,,SQ,XP
60,60,industrial,,lib/g10/US/industrial/light/FactC60x60_v0.obj,,,,SQ,XP
60,60,industrial,,lib/g10/US/industrial/light/FactC60x60_v1.obj,,,,SQ,XP
19.75,11.78,industrial,,lib/g10/US/industrial/light/StorEnd1.obj,,,,SQ,XP
12.00,45.50,industrial,,lib/g10/US/industrial/light/StorEnd2.obj,,,,SQ,XP
19.75,11.87,industrial,,lib/g10/US/industrial/light/StorSml1p0.obj,,,,SQ,XP
43.82,11.78,industrial,,lib/g10/US/industrial/light/StorSml1p1.obj,,,,SQ,XP
31.82,11.78,industrial,,lib/g10/US/industrial/light/StorSml1p2.obj,,,,SQ,XP
19.82,11.78,industrial,,lib/g10/US/industrial/light/StorSml1p3.obj,,,,SQ,XP
18.25,9.50,industrial,,lib/g10/US/industrial/light/StorSml2p0.obj,,,,SQ,XP
45.75,9.50,industrial,,lib/g10/US/industrial/light/StorSml2p1.obj,,,,SQ,XP
33.75,9.50,industrial,,lib/g10/US/industrial/light/StorSml2p2.obj,,,,SQ,XP
21.75,9.50,industrial,,lib/g10/US/industrial/light/StorSml2p3.obj,,,,SQ,XP
84.09,7.38,industrial,,lib/g10/US/industrial/light/StorSml3.obj,,,,SQ,XP
75.57,11.78,industrial,,lib/g10/US/industrial/light/StorSml4.obj,,,,SQ,XP
76.00,9.50,industrial,,lib/g10/US/industrial/light/StorSml5.obj,,,,SQ,XP
84.10,7.50,industrial,,lib/g10/US/industrial/light/StorSml6.obj,,,,SQ,XP
45.50,42.50,industrial,,lib/g10/US/industrial/light/StorSq1.obj,,,,SQ,XP
21.25,24.48,industrial,,lib/g10/US/industrial/light/StorWd1p0.obj,,,,SQ,XP
42.00,24.48,industrial,,lib/g10/US/industrial/light/StorWd1p1.obj,,,,SQ,XP
30.00,24.48,industrial,,lib/g10/US/industrial/light/StorWd1p2.obj,,,,SQ,XP
18.00,24.48,industrial,,lib/g10/US/industrial/light/StorWd1p3.obj,,,,SQ,XP
75.25,24.48,industrial,,lib/g10/US/industrial/light/StorWd2.obj,,,,SQ,XP
10.00,30.00,industrial,,lib/g10/US/industrial/light/TinShed10x30Dk.obj,,,,SQ,XP
10.00,30.00,industrial,,lib/g10/US/industrial/light/TinShed10x30Lt.obj,,,,SQ,XP
10.00,50.00,industrial,,lib/g10/US/industrial/light/TinShed10x50.obj,,,,SQ,XP
8.00,10.00,industrial,,lib/g10/US/industrial/light/WoodShed8x10.obj,,,,SQ,XP
8.00,20.00,industrial,,lib/g10/US/industrial/light/WoodShed8x20.obj,,,,SQ,XP
15.00,22.00,industrial,,lib/g10/US/industrial/light/Whs15x22.obj,,,,SQ,XP
15.00,30.00,industrial,,lib/g10/US/industrial/light/Warehse15x30Dk.obj,,,,SQ,XP
15.00,30.00,industrial,,lib/g10/US/industrial/light/Warehse15x30Lt.obj,,,,SQ,XP
20.00,11.00,industrial,,lib/g10/US/industrial/light/Whs20x11.obj,,,,SQ,XP
30.30,30.00,industrial,,lib/g10/US/industrial/light/Warehse30x30Dk.obj,,,,SQ,XP
30.00,30.00,industrial,,lib/g10/US/industrial/light/Warehse30x30Lt.obj,,,,SQ,XP
60.00,120.00,industrial,,lib/g10/US/industrial/light/Whs60x120D.obj,,,,SQ,XP
60.00,120.00,industrial,,lib/g10/US/industrial/light/Whs60x120L.obj,,,,SQ,XP
60.00,60.00,industrial,,lib/g10/US/industrial/light/Whs60x60L_v0.obj,,,,SQ,XP
60.00,90.00,industrial,,lib/g10/US/industrial/light/Whs60x90D.obj,,,,SQ,XP
60.00,90.00,industrial,,lib/g10/US/industrial/light/Whs60x90L.obj,,,,SQ,XP
13.00,30.00,industrial,,lib/g10/US/industrial/light/Warehse13x30Lt.obj,,,,SQ,XP
10.0,20.0,industrial,,lib/industry_commerce/industrial_new_10x20a.obj,,,,SQ,R2
10.0,20.0,industrial,,lib/industry_commerce/industrial_old_10x20a.obj,,,,SQ,R2
30.0,50.0,industrial,,lib/industry_commerce/industrial_new_30x50a.obj,,,,SQ,R2
30.0,50.0,industrial,,lib/industry_commerce/industrial_new_30x50b.obj,,,,SQ,R2
30.0,50.0,industrial,,lib/industry_commerce/industrial_new_30x50c.obj,,,,SQ,R2
30.0,50.0,industrial,,lib/industry_commerce/industrial_new_30x50d.obj,,,,SQ,R2
30.0,50.0,industrial,,lib/industry_commerce/industrial_new_30x50e.obj,,,,SQ,R2
30.0,50.0,industrial,,lib/industry_commerce/industrial_old_30x50a.obj,,,,SQ,R2
30.0,50.0,industrial,,lib/industry_commerce/industrial_old_30x50b.obj,,,,SQ,R2
30.0,50.0,industrial,,lib/industry_commerce/industrial_old_30x50c.obj,,,,SQ,R2
30.0,50.0,industrial,,lib/industry_commerce/industrial_old_30x50d.obj,,,,SQ,R2
30.0,50.0,industrial,,lib/industry_commerce/industrial_old_30x50e.obj,,,,SQ,R2
60.0,100.0,industrial,,lib/industry_commerce/industrial_new_60x100a.obj,,,,SQ,R2
60.0,100.0,industrial,,lib/industry_commerce/industrial_new_60x100c.obj,,,,SQ,R2
60.0,100.0,industrial,,lib/industry_commerce/industrial_new_60x100d.obj,,,,SQ,R2
60.0,100.0,industrial,,lib/industry_commerce/industrial_new_60x100e.obj,,,,SQ,R2
60.0,100.0,industrial,,lib/industry_commerce/industrial_old_60x100d.obj,,,,SQ,R2
60.0,50.0,industrial,,lib/industry_commerce/industrial_new_60x50a.obj,,,,SQ,R2
60.0,50.0,industrial,,lib/industry_commerce/industrial_new_60x50c.obj,,,,SQ,R2
60.0,50.0,industrial,,lib/industry_commerce/industrial_new_60x50d.obj,,,,SQ,R2
60.0,50.0,industrial,,lib/industry_commerce/industrial_new_60x50e.obj,,,,SQ,R2
60.0,50.0,industrial,,lib/industry_commerce/industrial_old_60x50a.obj,,,,SQ,R2
60.0,50.0,industrial,,lib/industry_commerce/industrial_old_60x50d.obj,,,,SQ,R2
12.0,12.0,industrial,,R2_Library/budovy/sklady/sklad_12m/sklad12_12m.obj,,,,SQ,R2
12.0,24.0,industrial,,R2_Library/budovy/sklady/sklad_12m/sklad12_24m.obj,,,,SQ,R2
12.0,30.0,industrial,,R2_Library/budovy/sklady/sklad_12m/sklad12_30m.obj,,,,SQ,R2
