width,length,type,region,model,height-min,height-max,stories,shape,library,tags

# Great Britain France 
Ireland and Netherlands

19.00,14.50,residential,GB;IE;NL;FR,objects/houses/EU/GB/RES_19.00x14.50_UK.obj,,,2,SQ,W2XP,Black;Old
22.00,14.50,residential,GB;IE;NL;FR,objects/houses/EU/GB/RES_22.00x14.50_UK.obj,,,2,SQ,W2XP,Black;Old
24.00,14.50,residential,GB;IE;NL;FR,objects/houses/EU/GB/RES_24.00x14.50_UK.obj,,,2,SQ,W2XP,Black;Old
18.00,13.80,residential,GB;IE;NL;FR,objects/houses/EU/GB/RES_18.00x13.80_UK_1.obj,,,2,SQ,W2XP,Black;Old
18.00,15.10,residential,GB;IE;NL;FR,objects/houses/EU/GB/RES_18.00x15.10_UK_1.obj,,,2,SQ,W2XP,Black;Old
22.20,11.30,residential,GB;IE;NL;FR,objects/houses/EU/GB/RES_22.20x11.30_UK.obj,,,2,SQ,W2XP,Black;Old
11.50,10.00,residential,GB;IE;NL;FR,objects/houses/EU/GB/RES_11.50x10.00_UK_1.obj,,,2,SQ,W2XP,Red;Old
11.00,10.00,residential,GB;IE;NL;FR,objects/houses/EU/GB/RES_11.00x10.00_UK_1.obj,,,2,SQ,W2XP,Red;Old
9.50,12.35,residential,GB;IE;NL;FR,objects/houses/EU/GB/RES_9.50x12.35_UK_1.obj,,,2,SQ,W2XP,Black;Old
7.70,21.00,residential,GB;IE;NL;FR,objects/houses/EU/GB/RES_7.70x21.00_UK_1.obj,,,2,SQ,W2XP,Black;Old
15.30,11.70,residential,GB;IE;NL;FR,objects/houses/EU/GB/RES_15.30x11.70_UK_1.obj,,,2,SQ,W2XP,Black;Old
14.00,11.00,residential,GB;IE;NL;FR,objects/houses/EU/GB/RES_14.00x11.00_UK_1.obj,,,2,SQ,W2XP,Black;Old
15.00,10.00,residential,GB;IE;NL;FR,objects/houses/EU/GB/RES_15.00x10.00_UK_1.obj,,,2,SQ,W2XP,Black;Old
13.00,11.00,residential,GB;IE;NL;FR,objects/houses/EU/GB/RES_13.00x11.00_UK_1.obj,,,2,SQ,W2XP,Black;Old
15.00,8.60,residential,GB;IE;FR,objects/houses/EU/GB/RES_15.00x8.6_UK_1.obj,,,2,SQ,W2XP,Black;Old
12.00,12.00,residential,GB;IE;NL,objects/houses/EU/GB/RES_12x12_UK_1.obj,,,2,SQ,W2XP,Black;Old
18.00,11.20,residential,GB;IE;NL,objects/houses/EU/GB/RES_18.00x11.20_UK_1.obj,,,2,SQ,W2XP,Black
16.80,14.50,residential,GB;IE;NL,objects/houses/EU/GB/RES_16.80x14.50_UK_2.obj,,,2,SQ,W2XP,Black
19.00,7.0,residential,GB;IE;NL,objects/houses/EU/GB/RES_19.00x7_UK_1.obj,,,2,SQ,W2XP,Black
19.00,11.20,residential,GB;IE;NL,objects/houses/EU/GB/RES_19.00x11.20_UK_1.obj,,,2,SQ,W2XP,Black
6.60,7.15,residential,GB;IE;NL,objects/houses/EU/GB/RES_6.60x7.15_UK1.obj,,,2,SQ,W2XP,Black
6.60,7.15,residential,GB;IE;NL,objects/houses/EU/GB/RES_6.60x7.15_UK2.obj,,,2,SQ,W2XP,Brown
7.00,8.00,residential,GB;IE;NL,objects/houses/EU/GB/RES_7.00x8.00_UK1.obj,,,2,SQ,W2XP,Brown
7.00,8.00,residential,GB;IE;NL,objects/houses/EU/GB/RES_7.00x8.00_UK2.obj,,,2,SQ,W2XP,Brown
7.00,8.00,residential,GB;IE;NL,objects/houses/EU/GB/RES_7.00x8.00_UK3.obj,,,2,SQ,W2XP,Brown
7.00,8.00,residential,GB;IE;NL,objects/houses/EU/GB/RES_7.00x8.00_UK4.obj,,,2,SQ,W2XP,Brown
5.00,7.75,residential,GB;IE;NL,objects/houses/EU/GB/RES_5x7.75_UK1.obj,,,2,SQ,W2XP,Black
6.40,6.90,residential,GB;IE;NL,objects/houses/EU/GB/R_6.4x6.9_UK_1.obj,,,2,SQ,W2XP,Black
6.70,6.90,residential,GB;IE;NL,objects/houses/EU/GB/R_6.7x6.9_UK_1.obj,,,2,SQ,W2XP,Black
7.00,7.00,residential,GB;IE;NL,objects/houses/EU/GB/R_7.0x7.0_UK_1.obj,,,2,SQ,W2XP,Black
6.90,7.30,residential,GB;IE;NL,objects/houses/EU/GB/R_6.9x7.3_UK_1.obj,,,2,SQ,W2XP,Black
5.40,8.70,residential,GB;IE;NL,objects/houses/EU/GB/R_5.4x8.7_UK_1.obj,,,2,SQ,W2XP,Black
6.40,9.00,residential,GB;IE;NL,objects/houses/EU/GB/R_6.4x9.0_UK_1.obj,,,2,SQ,W2XP,Black
7.30,11.30,residential,GB;IE;NL,objects/houses/EU/GB/R_7.3x11.3_UK_1.obj,,,1,SQ,W2XP,Black
5.70,8.20,residential,GB;IE;NL,objects/houses/EU/GB/R_5.7x8.2_UK_1.obj,,,1,SQ,W2XP,Black
7.30,9.10,residential,GB;IE;NL,objects/houses/EU/GB/R_7.3x9.1_UK_1.obj,,,1,SQ,W2XP,Brown
15.23,6.09,residential,GB;IE;NL,objects/houses/EU/IE/RES_15.23x6.09_IE.obj,,,2,SQ,W2XP,Black
15.82,7.92,residential,GB;IE;NL,objects/houses/EU/IE/RES_15.82x7.92_2_IE.obj,,,2,SQ,W2XP,Black
17.88,8.15,residential,GB;IE;NL,objects/houses/EU/IE/RES_17.88x8.15_2_IE.obj,,,2,SQ,W2XP,Black
17.93,10.15,residential,GB;IE;NL,objects/houses/EU/IE/RES_17.94x10.15_1_IE.obj,,,1,SQ,W2XP,Black
19.75,10.87,residential,GB;IE;NL,objects/houses/EU/IE/RES_19.75_10.87_1_IE_2.obj,,,1,SQ,W2XP,Black
19.75,10.87,residential,GB;IE;NL,objects/houses/EU/IE/RES_19.75x10.87_1_IE.obj,,,1,SQ,W2XP,Black
19.89,10.15,residential,GB;IE;NL,objects/houses/EU/IE/RES_19.89x10.15_IE.obj,,,2,SQ,W2XP,Black
21.36,9.07,residential,GB;IE;NL,objects/houses/EU/IE/RES_21.36x9.07_1_IE.obj,,,1,SQ,W2XP,Black
21.52,13.2,residential,GB;IE;NL,objects/houses/EU/IE/RES_21.52x10.13_2_IE.obj,,,2,SQ,W2XP,Black
