width,length,type,region,model,height-min,height-max,stories,shape,library,tags

# Generic United Kingdom Library

7.00,7.00,residential,,uk/terraced7_7.obj,,,2,SQ,W2XP,Black;Old
14.00,7.00,residential,,uk/terraced14_7.obj,,,2,SQ,W2XP,Black;Old
21.00,7.00,residential,,uk/terraced21_7.obj,,,2,SQ,W2XP,Black;Old
28.00,7.00,residential,,uk/terraced28_7.obj,,,2,SQ,W2XP,Black;Old
42.00,7.00,residential,,uk/terraced42_7.obj,,,2,SQ,W2XP,Black;Old
49.00,7.00,residential,,uk/terraced49_7.obj,,,2,SQ,W2XP,Black;Old

7.00,8.00,residential,,uk/terraced7_8.obj,,,2,SQ,W2XP,Black;Old
35.00,8.00,residential,,uk/terraced35_8.obj,,,2,SQ,W2XP,Black;Old
25.00,8.00,residential,,uk/terraced25_8.obj,,,2,SQ,W2XP,Black;Old
15.00,8.00,residential,,uk/terraced15_8.obj,,,2,SQ,W2XP,Black;Old



7.60,9.50,residential,,objects/houses/EU/GB/RES_7.60x9.50_VIL.obj,,,2,SQ,W2XP,Black;Old
8.90,13.50,residential,,objects/houses/EU/GB/RES_8.90x13.50_VIL.obj,,,2,SQ,W2XP,Black;Old
36.90,5.90,residential,,objects/houses/EU/GB/RES_36.90x5.90_VIL.obj,,,2,SQ,W2XP,Black;Old
22.39,7.80,residential,,objects/houses/EU/GB/RES_22.39.7.80_VIL.obj,,,2,SQ,W2XP,Black;Old
11.00,3.00,residential,,objects/houses/EU/GB/GAR_11.0x3.50.obj,,,2,SQ,W2XP,Black;Old
19.00,14.50,residential,,objects/houses/EU/GB/RES_19.00x14.50_UK.obj,,,2,SQ,W2XP,Black;Old
22.00,14.50,residential,,objects/houses/EU/GB/RES_22.00x14.50_UK.obj,,,2,SQ,W2XP,Black;Old
24.00,14.50,residential,,objects/houses/EU/GB/RES_24.00x14.50_UK.obj,,,2,SQ,W2XP,Black;Old
24.00,14.00,residential,,objects/houses/EU/GB/RES_24.00x14.00_UK.obj,,,2,SQ,W2XP,Black;Old
19.50,13.00,residential,,objects/houses/EU/GB/RES_19.50x13.00_UK.obj,,,2,SQ,W2XP,Black;Old
19.50,13.00,residential,,objects/houses/EU/GB/RES_39.00x13.00_UK.obj,,,2,SQ,W2XP,Black;Old
18.00,13.80,residential,,objects/houses/EU/GB/RES_18.00x13.80_UK_1.obj,,,2,SQ,W2XP,Black;Old
18.00,15.10,residential,,objects/houses/EU/GB/RES_18.00x15.10_UK_1.obj,,,2,SQ,W2XP,Black;Old
22.20,11.30,residential,,objects/houses/EU/GB/RES_22.20x11.30_UK.obj,,,2,SQ,W2XP,Black;Old
11.50,10.00,residential,,objects/houses/EU/GB/RES_11.50x10.00_UK_1.obj,,,2,SQ,W2XP,Red;Old
11.00,10.00,residential,,objects/houses/EU/GB/RES_11.00x10.00_UK_1.obj,,,2,SQ,W2XP,Red;Old
9.50,12.35,residential,,objects/houses/EU/GB/RES_9.50x12.35_UK_1.obj,,,2,SQ,W2XP,Black;Old
7.70,21.00,residential,,objects/houses/EU/GB/RES_7.70x21.00_UK_1.obj,,,2,SQ,W2XP,Black;Old
15.30,11.70,residential,,objects/houses/EU/GB/RES_15.30x11.70_UK_1.obj,,,2,SQ,W2XP,Black;Old
14.00,11.00,residential,,objects/houses/EU/GB/RES_14.00x11.00_UK_1.obj,,,2,SQ,W2XP,Black;Old
15.00,10.00,residential,,objects/houses/EU/GB/RES_15.00x10.00_UK_1.obj,,,2,SQ,W2XP,Black;Old
13.00,11.00,residential,,objects/houses/EU/GB/RES_13.00x11.00_UK_1.obj,,,2,SQ,W2XP,Black;Old
15.00,8.60,residential,,objects/houses/EU/GB/RES_15.00x8.6_UK_1.obj,,,2,SQ,W2XP,Black;Old
12.00,12.00,residential,,objects/houses/EU/GB/RES_12x12_UK_1.obj,,,2,SQ,W2XP,Black;Old
18.00,11.20,residential,,objects/houses/EU/GB/RES_18.00x11.20_UK_1.obj,,,2,SQ,W2XP,Black
16.80,14.50,residential,,objects/houses/EU/GB/RES_16.80x14.50_UK_2.obj,,,2,SQ,W2XP,Black
19.00,7.0,residential,,objects/houses/EU/GB/RES_19.00x7_UK_1.obj,,,2,SQ,W2XP,Black
19.00,11.20,residential,,objects/houses/EU/GB/RES_19.00x11.20_UK_1.obj,,,2,SQ,W2XP,Black
6.60,7.15,residential,,objects/houses/EU/GB/RES_6.60x7.15_UK1.obj,,,2,SQ,W2XP,Black
6.60,7.15,residential,,objects/houses/EU/GB/RES_6.60x7.15_UK2.obj,,,2,SQ,W2XP,Brown
7.00,8.00,residential,,objects/houses/EU/GB/RES_7.00x8.00_UK1.obj,,,2,SQ,W2XP,Brown
7.00,8.00,residential,,objects/houses/EU/GB/RES_7.00x8.00_UK2.obj,,,2,SQ,W2XP,Brown
7.00,8.00,residential,,objects/houses/EU/GB/RES_7.00x8.00_UK3.obj,,,2,SQ,W2XP,Brown
7.00,8.00,residential,,objects/houses/EU/GB/RES_7.00x8.00_UK4.obj,,,2,SQ,W2XP,Brown
5.00,7.75,residential,,objects/houses/EU/GB/RES_5x7.75_UK1.obj,,,2,SQ,W2XP,Black
6.40,6.90,residential,,objects/houses/EU/GB/R_6.4x6.9_UK_1.obj,,,2,SQ,W2XP,Black
6.70,6.90,residential,,objects/houses/EU/GB/R_6.7x6.9_UK_1.obj,,,2,SQ,W2XP,Black
7.00,7.00,residential,,objects/houses/EU/GB/R_7.0x7.0_UK_1.obj,,,2,SQ,W2XP,Black
6.90,7.30,residential,,objects/houses/EU/GB/R_6.9x7.3_UK_1.obj,,,2,SQ,W2XP,Black
5.40,8.70,residential,,objects/houses/EU/GB/R_5.4x8.7_UK_1.obj,,,2,SQ,W2XP,Black
6.40,9.00,residential,,objects/houses/EU/GB/R_6.4x9.0_UK_1.obj,,,2,SQ,W2XP,Black
7.30,11.30,residential,,objects/houses/EU/GB/R_7.3x11.3_UK_1.obj,,,1,SQ,W2XP,Black
5.70,8.20,residential,,objects/houses/EU/GB/R_5.7x8.2_UK_1.obj,,,1,SQ,W2XP,Black
7.30,9.10,residential,,objects/houses/EU/GB/R_7.3x9.1_UK_1.obj,,,1,SQ,W2XP,Brown
26.88,8.58,residential,,objects/houses/EU/GB/RES_26.80x8.58_UK.obj,,,2,SQ,W2XP,Black
5.0,9.0,residential,,objects/houses/EU/GB/RES_5.0x9.0_2_UK_1.obj,,,2,SQ,W2XP,Black
5.0,9.0,residential,,objects/houses/EU/GB/RES_5.0x9.0_2_UK_2.obj,,,2,SQ,W2XP,Black
9.2,7.0,residential,,objects/houses/EU/GB/RES_9.2x7.0_2_UK_1.obj,,,2,SQ,W2XP,Black
5.0,10.0,residential,,objects/houses/EU/GB/RES_5.0x10.0_2_UK_1.obj,,,2,SQ,W2XP,Black
